Brand,Product_description,price,discount_percentage,Link
Hotstyle ,Sneakers For Men  (Red),₹205,58% off,https://www.flipkart.com/hotstyle-sneakers-men/p/itmfbwkjycr7hnwv?pid=SHOFBV6YYFZZUDA4&lid=LSTSHOFBV6YYFZZUDA4FIFE2L&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFBV6YYFZZUDA4.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Chevit ,Smart Casuals Canvas Shoes Combo pack of 2 Sneakers For Men  (Multicolor),₹299,70% off,https://www.flipkart.com/chevit-smart-casuals-canvas-shoes-combo-pack-2-sneakers-men/p/itm34f5fdc69a149?pid=SHOFZWYJY2XWTCHN&lid=LSTSHOFZWYJY2XWTCHNCA9CZZ&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFZWYJY2XWTCHN.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
layasa ,"Walking shoes,Casual Sneakers For Men  (Green)",₹378,62% off,https://www.flipkart.com/layasa-walking-shoes-casual-sneakers-men/p/itmd9bac97d76b9b?pid=SHOFT6WUHZTSTA4G&lid=LSTSHOFT6WUHZTSTA4GF5S9CR&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=en_U5%2F4Ug3GlLfobhCKAKFijlaiqc0HKMwn%2FJADbVYAKLtRzYOnjvZVZzSf6W6jTllmD3ygcf3Wj5UMZOvGAVOFrA%3D%3D&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Chevit ,170 Smart Grey Lace-Ups Casuals for Men Sneakers For Men  (Grey),₹236,52% off,https://www.flipkart.com/chevit-170-smart-grey-lace-ups-casuals-men-sneakers/p/itm043eca6a9ed89?pid=SHOFZD4JSWKZGBF5&lid=LSTSHOFZD4JSWKZGBF5DFQTST&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFZD4JSWKZGBF5.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Chevit ,"Lightweight Combo Pack of 02 Trendy Sneakers Casuals For Men's (Red, Yellow) Sneakers For Men  (Red, Yellow)",₹570,42% off,https://www.flipkart.com/chevit-lightweight-combo-pack-02-trendy-sneakers-casuals-men-s-red-yellow-men/p/itm95c046a0abf45?pid=SHOFU8FEYKHEQPP2&lid=LSTSHOFU8FEYKHEQPP2COCV4N&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFU8FEYKHEQPP2.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Restinfoot ,"Casual shoes,Sneakers for men's,shoes for men's Sneakers For Men  (Grey)",₹389,61% off,https://www.flipkart.com/restinfoot-casual-shoes-sneakers-men-s-shoes-men-s-sneakers-men/p/itmfeuvtqzmpswx7?pid=SHOFEUP9BHCGGXHZ&lid=LSTSHOFEUP9BHCGGXHZ6YCK87&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFEUP9BHCGGXHZ.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Chevit ,"168 Smart Red Lace-Ups Casuals for Men Sneakers For Men  (Red, Black)",₹236,52% off,https://www.flipkart.com/chevit-168-smart-red-lace-ups-casuals-men-sneakers/p/itm5c134759c0c78?pid=SHOFZD8F3XGYZWSB&lid=LSTSHOFZD8F3XGYZWSBICFOES&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFZD8F3XGYZWSB.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
Armado ,shoes For Mens Combo(AR)-1660-1566 ( Multicolor-Pack of 2) Sneakers For Men  (Multicolor),₹498,50% off,https://www.flipkart.com/armado-shoes-mens-combo-ar-1660-1566-multicolor-pack-2-sneakers-men/p/itmf1613e19ab44e?pid=SHOFYC6GXBYHPZ7M&lid=LSTSHOFYC6GXBYHPZ7MJWJOAY&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFYC6GXBYHPZ7M.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
French Connection ,"Sneakers For Men  (Navy, White)",₹849,57% off,https://www.flipkart.com/french-connection-sneakers-men/p/itmfeqdgzfrasm6v?pid=SHOFE6AU3UHWKZGW&lid=LSTSHOFE6AU3UHWKZGWB1ZCBC&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_U5%2F4Ug3GlLfobhCKAKFijlaiqc0HKMwn%2FJADbVYAKLuyDtPR9ZvloqNQEVZ93OyjkVsaAOP0QG9UKvG4VN%2B12w%3D%3D&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
TR ,Sneakers For Men  (White),₹329,67% off,https://www.flipkart.com/tr-sneakers-men/p/itmfhegftdjf3cqt?pid=SHOFHEGHFJVGZ4MY&lid=LSTSHOFHEGHFJVGZ4MYFXPB1Q&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=4d28acce-a760-41bc-b3f0-3a581f86265f.SHOFHEGHFJVGZ4MY.SEARCH&ssid=wxrejuii7k0000001611754411591&qH=a1743c0d39461290
