Title,Ratings,price,Link To Buy
Dell Inspiron 7306 11th Gen Core i7 Ultra Slim 13inch UHD 2in1 Laptop (16GB/512GB SSD/ Iris Xe Graphics /Windows 10/ MS Office 19/Active Pen/Element Black) D560371WIN9B,3.5 out of 5,"₹ 1,26,500.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A06721791BLBOMOC0TK0&url=%2FDell-Inspiron-Graphics-Windows-D560371WIN9B%2Fdp%2FB08QMGVVNK%2Fref%3Dsr_1_29_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1611756172%26refinements%3Dp_n_feature_thirteen_browse-bin%253A12598163031%257C16757432031%26rnid%3D12598141031%26s%3Dcomputers%26sr%3D1-29-spons%26psc%3D1&qualifier=1611756178&id=7226174411632796&widgetName=sp_btf
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 4 GB Ram & 128 GB SSD & 1TB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 49,990.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A0017998O4EAS5UWTYWT&url=%2FRenewed-HP-Hybrid-Probook-Laptop%2Fdp%2FB08NC79KDR%2Fref%3Dsr_1_30_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1611756172%26refinements%3Dp_n_feature_thirteen_browse-bin%253A12598163031%257C16757432031%26rnid%3D12598141031%26s%3Dcomputers%26sr%3D1-30-spons%26psc%3D1&qualifier=1611756178&id=7226174411632796&widgetName=sp_btf
"Dell XPS 9370 13.3-inch UHD Thin & Light Laptop(8th Gen i7-8550U/16GB/512GB SSD/Win 10 + MS Office/Integrated Graphics), Gold",2.8 out of 5,"₹ 1,24,200.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg2_1?ie=UTF8&adId=A084599218SVTWCTU2V2F&url=%2FDell-9370-13-3-inch-i7-8550U-Integrated%2Fdp%2FB08C5GHKZX%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1611756178%26refinements%3Dp_n_feature_thirteen_browse-bin%253A12598163031%257C16757432031%26rnid%3D12598141031%26s%3Dcomputers%26sr%3D1-25-spons%26psc%3D1&qualifier=1611756187&id=7686666206096543&widgetName=sp_atf_next
"(Renewed) HP Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 16 GB Ram & 256 GB SSD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",5 out of 5,"₹ 55,990.00",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg2_1?ie=UTF8&adId=A00193461EA6XT5QSEEPC&url=%2FRenewed-HP-Probook-Laptop-430G3%2Fdp%2FB08N57LZ5V%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1611756178%26refinements%3Dp_n_feature_thirteen_browse-bin%253A12598163031%257C16757432031%26rnid%3D12598141031%26s%3Dcomputers%26sr%3D1-26-spons%26psc%3D1&qualifier=1611756187&id=7686666206096543&widgetName=sp_atf_next
"Dell Alienware m15(R3) 15.6-inch FHD Gaming Laptop (10th Gen Core i7-10750H/16GB/512GB SSD/Windows 10 Home & MS Office/6GB NVIDIA GTX 1660 Ti Graphics), Lunar Light",2.7 out of 5,"₹ 1,97,200.00",https://www.amazon.in/Dell-Alienware-m15-R3-15-6-inch/dp/B08BZR715W/ref=sr_1_27?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-27
Dell G3 3500 Gaming Laptop 15.6-inch FHD 120 Hz (10th Gen Core i7-10750H/8GB/512GB SSD/Windows 10 Home Plus & MS Office/NVIDIA1650 Ti Graphics/Eclipse Black) D560260WIN9BE,3.9 out of 5,"₹ 89,990.00",https://www.amazon.in/Dell-15-6-inch-i7-10750H-NVIDIA1650-D560260WIN9BE/dp/B08H9PTSYR/ref=sr_1_28?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-28
"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 24 GB Ram & 512 GB SSD & 1TB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",NA,"₹ 68,490.00",https://www.amazon.in/Renewed-HP-Hybrid-Probook-Laptop/dp/B08NCX6L42/ref=sr_1_29?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-29
(Renewed) Dell Inspiron 15 7000 7591 Laptop/Intel 9th Gen Ci7-9750H/15.6inch FHD/512GB SSD/16GB/NVIDIA GeForce GTX 1050 with 3GB GDDR5/Win 10 Home\Integrated HD RGB Camera/,NA,"₹ 1,38,600.00",https://www.amazon.in/Dell-Inspiron-15-7000-Home-Integrated/dp/B08NYXXCF8/ref=sr_1_25?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-25
"Dell XPS 7590 15.6-inch FHD Laptop (9th Gen Core i7-9570H/8GB/512GB SSD/Windows 10 Home + MS Office/4GB NVIDIA GTX 1650 Graphics), Abyss Grey",5 out of 5,"₹ 1,35,490.00",https://www.amazon.in/Dell-7590-15-6-inch-i7-9570H-Graphics/dp/B089QRD5PT/ref=sr_1_26?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-26
"Dell XPS 7590 15.6-inch UHD Display Laptop (9th Gen Core i9-9980HK/32GB/1TB SSD/Win 10 + MS Office/4GB Nvidia Graphics), Abyss Grey",3.5 out of 5,NA,https://www.amazon.in/7590-15-6-inch-i9-9980HK-Windows-Graphics/dp/B07XPFYND4/ref=sr_1_27?dchild=1&keywords=laptop&qid=1611756178&refinements=p_n_feature_thirteen_browse-bin%3A12598163031%7C16757432031&rnid=12598141031&s=computers&sr=1-27
